,SA,Saudia_Arabia,singapore,Spain,srilanka,sweden,switzerland,taiwan,tanzania,thailand,Togo,Turkey,UAE,uganda,ukraine,uruguay,US,uzbekistan,Venezuela,Vietnam,Yemen,zambia,zimbabwe
484,,,,,,,Fosun Pharma,,,,,,,,,,,,,,,Kopa Specialist Clinic,
485,,,,,,,Inositec,,,,,,,,,,,,,,,PROVIDER NAME,
486,,,,,,,Inspirata,,,,,,,,,,,,,,,Hilltop Hospital,
487,,,,,,,Juvabis,,,,,,,,,,,,,,,Dr Dilobar?s Clinic,
488,,,,,,,MD Biosciences,,,,,,,,,,,,,,,Company Clinic,
489,,,,,,,MetrioPharm,,,,,,,,,,,,,,,Wusakile General Health Care,
490,,,,,,,Molecular Partners,,,,,,,,,,,,,,,Morningrise Surgery,
491,,,,,,,ndd Medical Technologies,,,,,,,,,,,,,,,Kitwe Polyclinic,
492,,,,,,,NovaGo Therapeutics,,,,,,,,,,,,,,,Progress Medical,
493,,,,,,,PharmaBiome,,,,,,,,,,,,,,,Kitwe Central Hospital (PAMSCO),
494,,,,,,,Sequana Medical,,,,,,,,,,,,,,,Kano DENTAL,
495,,,,,,,Sibreax,,,,,,,,,,,,,,,Indafro Limited,
496,,,,,,,Versantis,,,,,,,,,,,,,,,Hillview Medical Centre,
497,,,,,,,Xeltis,,,,,,,,,,,,,,,Carewell Oasis Medical,
498,,,,,,,,,,,,,,,,,,,,,,Zubeda Clinic,
499,,,,,,,,,,,,,,,,,,,,,,Kafue District Hospital,
500,,,,,,,0,,,,,,,,,,,,,,,Zambia Radiological & Imaging Co,
501,,,,,,,Asimov Medical,,,,,,,,,,,,,,,Vision Care Centre,
502,,,,,,,Health Outcomes Strategies,,,,,,,,,,,,,,,Viva Med Hospital,
503,,,,,,,HomeCare-Medical,,,,,,,,,,,,,,,Victoria Hospital,
504,,,,,,,OptiChroniX,,,,,,,,,,,,,,,University Teaching Hospital,
505,,,,,,,Eyewin,,,,,,,,,,,,,,,U Z Dental Clinic,
506,,,,,,,incredX,,,,,,,,,,,,,,,Tokyo OPTICIANS,
507,,,,,,,Boris Hueber Ostéopathe,,,,,,,,,,,,,,,Teba Hospital,
508,,,,,,,PromediTec,,,,,,,,,,,,,,,Sun Bird Eye Clinic,
509,,,,,,,Reavita,,,,,,,,,,,,,,,St. John Paul II,
510,,,,,,,Beltone Hörberatung,,,,,,,,,,,,,,,ST John?s Hospital,
511,,,,,,,Tara Wellness,,,,,,,,,,,,,,,St George?s Clinic,
512,,,,,,,Rathaus Optik,,,,,,,,,,,,,,,Smile Medical & DENTAL Clinic,
513,,,,,,,Acur,,,,,,,,,,,,,,,Revive Zambia,
514,,,,,,,Lometral,,,,,,,,,,,,,,,Ruth Kaluluma Memorial Clinic,
515,,,,,,,Olymp Wellness,,,,,,,,,,,,,,,Reliance Dental Services,
516,,,,,,,Medical Wellness Müller,,,,,,,,,,,,,,,Phil OPTICIANS,
517,,,,,,,Osteopathie Höngg,,,,,,,,,,,,,,,PHI Family Clinic,
518,,,,,,,I.O.M. Institut Osteopathische Medizin,,,,,,,,,,,,,,,Premium Medical Services,
519,,,,,,,Wellness,,,,,,,,,,,,,,,Pendleton Family Practice Ltd,
520,,,,,,,Home Instead Schweiz,,,,,,,,,,,,,,,Pearl of Health Hospital and Clinic,
521,,,,,,,The WBMT,,,,,,,,,,,,,,,Optimal Medical Centre,
522,,,,,,,,,,,,,,,,,,,,,,Mutti Medical Centre,
523,,,,,,,,,,,,,,,,,,,,,,Mum?s Care Clinics,
524,,,,,,,,,,,,,,,,,,,,,,MKP TMS Hospital,
525,,,,,,,,,,,,,,,,,,,,,,Metropolis Healthcare Zambia LTD,
526,,,,,,,,,,,,,,,,,,,,,,Medcross Hospital,
527,,,,,,,,,,,,,,,,,,,,,,Magnum Medical centre,
528,,,,,,,,,,,,,,,,,,,,,,Lusaka Trust Hospital,
529,,,,,,,,,,,,,,,,,,,,,,Lusaka Adventist Clinic,
530,,,,,,,,,,,,,,,,,,,,,,Lilayi Family Clinic,
531,,,,,,,,,,,,,,,,,,,,,,Lancet Nkanza Laboratories,
532,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
533,,,,,,,,,,,,,,,,,,,,,,Family Trust Medical Centre,
534,,,,,,,,,,,,,,,,,,,,,,Kabelenga Family Hospital,
535,,,,,,,,,,,,,,,,,,,,,,Good Esthetics,
536,,,,,,,,,,,,,,,,,,,,,,Link Pharmacy,
537,,,,,,,,,,,,,,,,,,,,,,Eyemax Opticians,
538,,,,,,,,,,,,,,,,,,,,,,Vikay Pharmacy,
539,,,,,,,,,,,,,,,,,,,,,,Kayiwale Medical Centre,
540,,,,,,,,,,,,,,,,,,,,,,Healing Touch Clinic,
541,,,,,,,,,,,,,,,,,,,,,,Lusaka Chemist,
542,,,,,,,,,,,,,,,,,,,,,,Forest Park Specialized Hospital,
543,,,,,,,,,,,,,,,,,,,,,,Family Care Dental Surgery,
544,,,,,,,,,,,,,,,,,,,,,,Fairview Hospital/ Medicare International,
545,,,,,,,,,,,,,,,,,,,,,,Emergency Response Zambia,
546,,,,,,,,,,,,,,,,,,,,,,Eye- Co OPTICIANS,
547,,,,,,,,,,,,,,,,,,,,,,Dr Agarwal?s Eye Hospital,
548,,,,,,,,,,,,,,,,,,,,,,Double Six OPTICIANS,
549,,,,,,,,,,,,,,,,,,,,,,Dentalllive Clinic,
550,,,,,,,,,,,,,,,,,,,,,,DENTAL Training School,
551,,,,,,,,,,,,,,,,,,,,,,Dazzling DENTAL Clinic,
552,,,,,,,,,,,,,,,,,,,,,,CorpMed Medical Centre,
553,,,,,,,,,,,,,,,,,,,,,,Coptic Hospital,
554,,,,,,,,,,,,,,,,,,,,,,Clear Vision Centre,
555,,,,,,,,,,,,,,,,,,,,,,City DENTAL,
556,,,,,,,,,,,,,,,,,,,,,,Chisomo Hospital,
557,,,,,,,,,,,,,,,,,,,,,,Care for Business,
558,,,,,,,,,,,,,,,,,,,,,,Cardinal Adams Mem. Hospital,
559,,,,,,,,,,,,,,,,,,,,,,Bupilo Family Health Clinic,
560,,,,,,,,,,,,,,,,,,,,,,Beit Cure International,
561,,,,,,,,,,,,,,,,,,,,,,Baba Medical Centre,
562,,,,,,,,,,,,,,,,,,,,,,ALWIMA Medical Centre,
563,,,,,,,,,,,,,,,,,,,,,,PROVIDER NAME,
564,,,,,,,,,,,,,,,,,,,,,,Lewanika General Hospital,
565,,,,,,,,,,,,,,,,,,,,,,Upperland Private Clinic,
566,,,,,,,,,,,,,,,,,,,,,,Monze Mission Hospital,
567,,,,,,,,,,,,,,,,,,,,,,El Shalom Clinic,
568,,,,,,,,,,,,,,,,,,,,,,Victoria Hospital,
569,,,,,,,,,,,,,,,,,,,,,,Mazabuka Medical Clinic,
570,,,,,,,,,,,,,,,,,,,,,,Mazabuka General Hospital,
571,,,,,,,,,,,,,,,,,,,,,,Sunbird Opticians,
572,,,,,,,,,,,,,,,,,,,,,,DR SHAFIK HOSPITAL,
573,,,,,,,,,,,,,,,,,,,,,,Royal Professionals medical,
574,,,,,,,,,,,,,,,,,,,,,,Mukuni Medical Centre,
575,,,,,,,,,,,,,,,,,,,,,,Livingstone General Hospital,
576,,,,,,,,,,,,,,,,,,,,,,Health & Glow Pharmacy,
577,,,,,,,,,,,,,,,,,,,,,,Maamba District Hospital,
578,,,,,,,,,,,,,,,,,,,,,,Olive Medi Clinic,
579,,,,,,,,,,,,,,,,,,,,,,Dr. Jain Surgery,
580,,,,,,,,,,,,,,,,,,,,,,Choma General Hospital,
581,,,,,,,,,,,,,,,,,,,,,,Tusekelemo Community Clinic,
582,,,,,,,,,,,,,,,,,,,,,,Mukowa Pharmacy,
583,,,,,,,,,,,,,,,,,,,,,,Mukuni Insurance Clinics,
584,,,,,,,,,,,,,,,,,,,,,,Kabwe Mine Hospital,
585,,,,,,,,,,,,,,,,,,,,,,Kabwe Medical Consultation Centre,
586,,,,,,,,,,,,,,,,,,,,,,Kabwe General Hospital,
587,,,,,,,,,,,,,,,,,,,,,,Kamoto Mission Hospital,
588,,,,,,,,,,,,,,,,,,,,,,St. Francis Mission Hospital,
589,,,,,,,,,,,,,,,,,,,,,,EJIS Professional Clinic,
590,,,,,,,,,,,,,,,,,,,,,,Chipata HealthCare,
591,,,,,,,,,,,,,,,,,,,,,,Chipata General Hospital,
592,,,,,,,,,,,,,,,,,,,,,,Fort Jameson Infirmary,
593,,,,,,,,,,,,,,,,,,,,,,Mwami Adventist Hospital,
594,,,,,,,,,,,,,,,,,,,,,,Kayiwale Care and Cure,
595,,,,,,,,,,,,,,,,,,,,,,Lundazi District Hospital,
596,,,,,,,,,,,,,,,,,,,,,,Chitokoloki Mission Hospital,
597,,,,,,,,,,,,,,,,,,,,,,Zambezi District Hospital,
598,,,,,,,,,,,,,,,,,,,,,,Bumi Clinic,
599,,,,,,,,,,,,,,,,,,,,,,Sunbird Opticians,
600,,,,,,,,,,,,,,,,,,,,,,St. Johns Medical Centre,
601,,,,,,,,,,,,,,,,,,,,,,Solwezi General Hospital,
602,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
603,,,,,,,,,,,,,,,,,,,,,,Kasama General Hospital,
604,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital Kasama,
605,,,,,,,,,,,,,,,,,,,,,,Home of Compassion Hospital,
606,,,,,,,,,,,,,,,,,,,,,,Mansa General Hospital,
607,,,,,,,,,,,,,,,,,,,,,,Malcom Watson Hospital,
608,,,,,,,,,,,,,,,,,,,,,,Roan General Hospital,
609,,,,,,,,,,,,,,,,,,,,,,CNMC Luanshya Mine Hospital,
610,,,,,,,,,,,,,,,,,,,,,,Dr. Bhatt?s Medical Center,
611,,,,,,,,,,,,,,,,,,,,,,Nchanga North General Hospital,
612,,,,,,,,,,,,,,,,,,,,,,African Medicare Services,
613,,,,,,,,,,,,,,,,,,,,,,Nchanga South (KCM Hospital),
614,,,,,,,,,,,,,,,,,,,,,,Konkola Copper Mine Hospital,
615,,,,,,,,,,,,,,,,,,,,,,Tokyo OPTICIANS,
616,,,,,,,,,,,,,,,,,,,,,,Sunbird OPTICIANS,
617,,,,,,,,,,,,,,,,,,,,,,Health View Medical Services,
618,,,,,,,,,,,,,,,,,,,,,,Mary Begg Community Clinic,
619,,,,,,,,,,,,,,,,,,,,,,Chinan Clinic,
620,,,,,,,,,,,,,,,,,,,,,,Telnor Medical Clinic,
621,,,,,,,,,,,,,,,,,,,,,,Arthur Davison Children?s Hospital,
622,,,,,,,,,,,,,,,,,,,,,,Ndola Central Hospital,
623,,,,,,,,,,,,,,,,,,,,,,Rd. Bhatts Med & DENTAL Services,
624,,,,,,,,,,,,,,,,,,,,,,Chemopharm,
625,,,,,,,,,,,,,,,,,,,,,,Beverly Eye Clinic,
626,,,,,,,,,,,,,,,,,,,,,,Kopa Specialist Clinic,
627,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
628,,,,,,,,,,,,,,,,,,,,,,Dr Dilobar?s Clinic,
629,,,,,,,,,,,,,,,,,,,,,,Company Clinic,
630,,,,,,,,,,,,,,,,,,,,,,Wusakile General Health Care,
631,,,,,,,,,,,,,,,,,,,,,,Morningrise Surgery,
632,,,,,,,,,,,,,,,,,,,,,,Kitwe Polyclinic,
633,,,,,,,,,,,,,,,,,,,,,,Progress Medical,
634,,,,,,,,,,,,,,,,,,,,,,Kitwe Central Hospital (PAMSCO),
635,,,,,,,,,,,,,,,,,,,,,,Kano DENTAL,
636,,,,,,,,,,,,,,,,,,,,,,Indafro Limited,
637,,,,,,,,,,,,,,,,,,,,,,Hillview Medical Centre,
638,,,,,,,,,,,,,,,,,,,,,,Carewell Oasis Medical,
639,,,,,,,,,,,,,,,,,,,,,,Zubeda Clinic,
640,,,,,,,,,,,,,,,,,,,,,,Kafue District Hospital,
641,,,,,,,,,,,,,,,,,,,,,,Zambia Radiological & Imaging Co,
642,,,,,,,,,,,,,,,,,,,,,,Vision Care Centre,
643,,,,,,,,,,,,,,,,,,,,,,Viva Med Hospital,
644,,,,,,,,,,,,,,,,,,,,,,Victoria Hospital,
645,,,,,,,,,,,,,,,,,,,,,,University Teaching Hospital,
646,,,,,,,,,,,,,,,,,,,,,,U Z Dental Clinic,
647,,,,,,,,,,,,,,,,,,,,,,Tokyo OPTICIANS,
648,,,,,,,,,,,,,,,,,,,,,,Teba Hospital,
649,,,,,,,,,,,,,,,,,,,,,,Sun Bird Eye Clinic,
650,,,,,,,,,,,,,,,,,,,,,,St. John Paul II,
651,,,,,,,,,,,,,,,,,,,,,,ST John?s Hospital,
652,,,,,,,,,,,,,,,,,,,,,,St George?s Clinic,
653,,,,,,,,,,,,,,,,,,,,,,Smile Medical & DENTAL Clinic,
654,,,,,,,,,,,,,,,,,,,,,,Revive Zambia,
655,,,,,,,,,,,,,,,,,,,,,,Ruth Kaluluma Memorial Clinic,
656,,,,,,,,,,,,,,,,,,,,,,Reliance Dental Services,
657,,,,,,,,,,,,,,,,,,,,,,Phil OPTICIANS,
658,,,,,,,,,,,,,,,,,,,,,,PHI Family Clinic,
659,,,,,,,,,,,,,,,,,,,,,,Premium Medical Services,
660,,,,,,,,,,,,,,,,,,,,,,Pendleton Family Practice Ltd,
661,,,,,,,,,,,,,,,,,,,,,,Pearl of Health Hospital and Clinic,
662,,,,,,,,,,,,,,,,,,,,,,Optimal Medical Centre,
663,,,,,,,,,,,,,,,,,,,,,,Mutti Medical Centre,
664,,,,,,,,,,,,,,,,,,,,,,Mum?s Care Clinics,
665,,,,,,,,,,,,,,,,,,,,,,MKP TMS Hospital,
666,,,,,,,,,,,,,,,,,,,,,,Metropolis Healthcare Zambia LTD,
667,,,,,,,,,,,,,,,,,,,,,,Medcross Hospital,
668,,,,,,,,,,,,,,,,,,,,,,Magnum Medical centre,
669,,,,,,,,,,,,,,,,,,,,,,Lusaka Trust Hospital,
670,,,,,,,,,,,,,,,,,,,,,,Lusaka Adventist Clinic,
671,,,,,,,,,,,,,,,,,,,,,,Lilayi Family Clinic,
672,,,,,,,,,,,,,,,,,,,,,,Lancet Nkanza Laboratories,
673,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
674,,,,,,,,,,,,,,,,,,,,,,Family Trust Medical Centre,
675,,,,,,,,,,,,,,,,,,,,,,Kabelenga Family Hospital,
676,,,,,,,,,,,,,,,,,,,,,,Good Esthetics,
677,,,,,,,,,,,,,,,,,,,,,,Link Pharmacy,
678,,,,,,,,,,,,,,,,,,,,,,Eyemax Opticians,
679,,,,,,,,,,,,,,,,,,,,,,Vikay Pharmacy,
680,,,,,,,,,,,,,,,,,,,,,,Kayiwale Medical Centre,
681,,,,,,,,,,,,,,,,,,,,,,Healing Touch Clinic,
682,,,,,,,,,,,,,,,,,,,,,,Lusaka Chemist,
683,,,,,,,,,,,,,,,,,,,,,,Forest Park Specialized Hospital,
684,,,,,,,,,,,,,,,,,,,,,,Family Care Dental Surgery,
685,,,,,,,,,,,,,,,,,,,,,,Fairview Hospital/ Medicare International,
686,,,,,,,,,,,,,,,,,,,,,,Emergency Response Zambia,
687,,,,,,,,,,,,,,,,,,,,,,Lewanika General Hospital,
688,,,,,,,,,,,,,,,,,,,,,,Eye- Co OPTICIANS,
689,,,,,,,,,,,,,,,,,,,,,,Upperland Private Clinic,
690,,,,,,,,,,,,,,,,,,,,,,Dr Agarwal?s Eye Hospital,
691,,,,,,,,,,,,,,,,,,,,,,Monze Mission Hospital,
692,,,,,,,,,,,,,,,,,,,,,,Double Six OPTICIANS,
693,,,,,,,,,,,,,,,,,,,,,,El Shalom Clinic,
694,,,,,,,,,,,,,,,,,,,,,,Dentalllive Clinic,
695,,,,,,,,,,,,,,,,,,,,,,Victoria Hospital,
696,,,,,,,,,,,,,,,,,,,,,,DENTAL Training School,
697,,,,,,,,,,,,,,,,,,,,,,Dazzling DENTAL Clinic,
698,,,,,,,,,,,,,,,,,,,,,,Mazabuka Medical Clinic,
699,,,,,,,,,,,,,,,,,,,,,,CorpMed Medical Centre,
700,,,,,,,,,,,,,,,,,,,,,,Mazabuka General Hospital,
701,,,,,,,,,,,,,,,,,,,,,,Coptic Hospital,
702,,,,,,,,,,,,,,,,,,,,,,Sunbird Opticians,
703,,,,,,,,,,,,,,,,,,,,,,Clear Vision Centre,
704,,,,,,,,,,,,,,,,,,,,,,DR SHAFIK HOSPITAL,
705,,,,,,,,,,,,,,,,,,,,,,City DENTAL,
706,,,,,,,,,,,,,,,,,,,,,,Royal Professionals medical,
707,,,,,,,,,,,,,,,,,,,,,,Chisomo Hospital,
708,,,,,,,,,,,,,,,,,,,,,,Mukuni Medical Centre,
709,,,,,,,,,,,,,,,,,,,,,,Care for Business,
710,,,,,,,,,,,,,,,,,,,,,,Livingstone General Hospital,
711,,,,,,,,,,,,,,,,,,,,,,Health & Glow Pharmacy,
712,,,,,,,,,,,,,,,,,,,,,,Cardinal Adams Mem. Hospital,
713,,,,,,,,,,,,,,,,,,,,,,Maamba District Hospital,
714,,,,,,,,,,,,,,,,,,,,,,Bupilo Family Health Clinic,
715,,,,,,,,,,,,,,,,,,,,,,Olive Medi Clinic,
716,,,,,,,,,,,,,,,,,,,,,,Beit Cure International,
717,,,,,,,,,,,,,,,,,,,,,,Dr. Jain Surgery,
718,,,,,,,,,,,,,,,,,,,,,,Baba Medical Centre,
719,,,,,,,,,,,,,,,,,,,,,,Choma General Hospital,
720,,,,,,,,,,,,,,,,,,,,,,ALWIMA Medical Centre,
721,,,,,,,,,,,,,,,,,,,,,,Tusekelemo Community Clinic,
722,,,,,,,,,,,,,,,,,,,,,,Mukowa Pharmacy,
723,,,,,,,,,,,,,,,,,,,,,,PROVIDER NAME,
724,,,,,,,,,,,,,,,,,,,,,,Mukuni Insurance Clinics,
725,,,,,,,,,,,,,,,,,,,,,,Kabwe Mine Hospital,
726,,,,,,,,,,,,,,,,,,,,,,Kabwe Medical Consultation Centre,
727,,,,,,,,,,,,,,,,,,,,,,Kabwe General Hospital,
728,,,,,,,,,,,,,,,,,,,,,,Kamoto Mission Hospital,
729,,,,,,,,,,,,,,,,,,,,,,St. Francis Mission Hospital,
730,,,,,,,,,,,,,,,,,,,,,,EJIS Professional Clinic,
731,,,,,,,,,,,,,,,,,,,,,,Chipata HealthCare,
732,,,,,,,,,,,,,,,,,,,,,,Chipata General Hospital,
733,,,,,,,,,,,,,,,,,,,,,,Fort Jameson Infirmary,
734,,,,,,,,,,,,,,,,,,,,,,Mwami Adventist Hospital,
735,,,,,,,,,,,,,,,,,,,,,,Kayiwale Care and Cure,
736,,,,,,,,,,,,,,,,,,,,,,Lundazi District Hospital,
737,,,,,,,,,,,,,,,,,,,,,,Chitokoloki Mission Hospital,
738,,,,,,,,,,,,,,,,,,,,,,Zambezi District Hospital,
739,,,,,,,,,,,,,,,,,,,,,,Bumi Clinic,
740,,,,,,,,,,,,,,,,,,,,,,Sunbird Opticians,
741,,,,,,,,,,,,,,,,,,,,,,St. Johns Medical Centre,
742,,,,,,,,,,,,,,,,,,,,,,Solwezi General Hospital,
743,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
744,,,,,,,,,,,,,,,,,,,,,,Kasama General Hospital,
745,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital Kasama,
746,,,,,,,,,,,,,,,,,,,,,,Home of Compassion Hospital,
747,,,,,,,,,,,,,,,,,,,,,,Mansa General Hospital,
748,,,,,,,,,,,,,,,,,,,,,,Malcom Watson Hospital,
749,,,,,,,,,,,,,,,,,,,,,,Roan General Hospital,
750,,,,,,,,,,,,,,,,,,,,,,CNMC Luanshya Mine Hospital,
751,,,,,,,,,,,,,,,,,,,,,,Dr. Bhatt?s Medical Center,
752,,,,,,,,,,,,,,,,,,,,,,Nchanga North General Hospital,
753,,,,,,,,,,,,,,,,,,,,,,African Medicare Services,
754,,,,,,,,,,,,,,,,,,,,,,Nchanga South (KCM Hospital),
755,,,,,,,,,,,,,,,,,,,,,,Konkola Copper Mine Hospital,
756,,,,,,,,,,,,,,,,,,,,,,Tokyo OPTICIANS,
757,,,,,,,,,,,,,,,,,,,,,,Sunbird OPTICIANS,
758,,,,,,,,,,,,,,,,,,,,,,Health View Medical Services,
759,,,,,,,,,,,,,,,,,,,,,,Lewanika General Hospital,
760,,,,,,,,,,,,,,,,,,,,,,Mary Begg Community Clinic,
761,,,,,,,,,,,,,,,,,,,,,,Upperland Private Clinic,
762,,,,,,,,,,,,,,,,,,,,,,Chinan Clinic,
763,,,,,,,,,,,,,,,,,,,,,,Monze Mission Hospital,
764,,,,,,,,,,,,,,,,,,,,,,Telnor Medical Clinic,
765,,,,,,,,,,,,,,,,,,,,,,El Shalom Clinic,
766,,,,,,,,,,,,,,,,,,,,,,Victoria Hospital,
767,,,,,,,,,,,,,,,,,,,,,,Arthur Davison Children?s Hospital,
768,,,,,,,,,,,,,,,,,,,,,,Mazabuka Medical Clinic,
769,,,,,,,,,,,,,,,,,,,,,,Ndola Central Hospital,
770,,,,,,,,,,,,,,,,,,,,,,Mazabuka General Hospital,
771,,,,,,,,,,,,,,,,,,,,,,Rd. Bhatts Med & DENTAL Services,
772,,,,,,,,,,,,,,,,,,,,,,Sunbird Opticians,
773,,,,,,,,,,,,,,,,,,,,,,Chemopharm,
774,,,,,,,,,,,,,,,,,,,,,,DR SHAFIK HOSPITAL,
775,,,,,,,,,,,,,,,,,,,,,,Beverly Eye Clinic,
776,,,,,,,,,,,,,,,,,,,,,,Royal Professionals medical,
777,,,,,,,,,,,,,,,,,,,,,,Kopa Specialist Clinic,
778,,,,,,,,,,,,,,,,,,,,,,Mukuni Medical Centre,
779,,,,,,,,,,,,,,,,,,,,,,Livingstone General Hospital,
780,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
781,,,,,,,,,,,,,,,,,,,,,,Health & Glow Pharmacy,
782,,,,,,,,,,,,,,,,,,,,,,Dr Dilobar?s Clinic,
783,,,,,,,,,,,,,,,,,,,,,,Maamba District Hospital,
784,,,,,,,,,,,,,,,,,,,,,,Company Clinic,
785,,,,,,,,,,,,,,,,,,,,,,Olive Medi Clinic,
786,,,,,,,,,,,,,,,,,,,,,,Wusakile General Health Care,
787,,,,,,,,,,,,,,,,,,,,,,Dr. Jain Surgery,
788,,,,,,,,,,,,,,,,,,,,,,Morningrise Surgery,
789,,,,,,,,,,,,,,,,,,,,,,Choma General Hospital,
790,,,,,,,,,,,,,,,,,,,,,,Kitwe Polyclinic,
791,,,,,,,,,,,,,,,,,,,,,,Tusekelemo Community Clinic,
792,,,,,,,,,,,,,,,,,,,,,,Progress Medical,
793,,,,,,,,,,,,,,,,,,,,,,Mukowa Pharmacy,
794,,,,,,,,,,,,,,,,,,,,,,Kitwe Central Hospital (PAMSCO),
795,,,,,,,,,,,,,,,,,,,,,,Mukuni Insurance Clinics,
796,,,,,,,,,,,,,,,,,,,,,,Kano DENTAL,
797,,,,,,,,,,,,,,,,,,,,,,Kabwe Mine Hospital,
798,,,,,,,,,,,,,,,,,,,,,,Indafro Limited,
799,,,,,,,,,,,,,,,,,,,,,,Kabwe Medical Consultation Centre,
800,,,,,,,,,,,,,,,,,,,,,,Hillview Medical Centre,
801,,,,,,,,,,,,,,,,,,,,,,Kabwe General Hospital,
802,,,,,,,,,,,,,,,,,,,,,,Carewell Oasis Medical,
803,,,,,,,,,,,,,,,,,,,,,,Kamoto Mission Hospital,
804,,,,,,,,,,,,,,,,,,,,,,Zubeda Clinic,
805,,,,,,,,,,,,,,,,,,,,,,St. Francis Mission Hospital,
806,,,,,,,,,,,,,,,,,,,,,,Kafue District Hospital,
807,,,,,,,,,,,,,,,,,,,,,,EJIS Professional Clinic,
808,,,,,,,,,,,,,,,,,,,,,,Zambia Radiological & Imaging Co,
809,,,,,,,,,,,,,,,,,,,,,,Chipata HealthCare,
810,,,,,,,,,,,,,,,,,,,,,,Vision Care Centre,
811,,,,,,,,,,,,,,,,,,,,,,Chipata General Hospital,
812,,,,,,,,,,,,,,,,,,,,,,Viva Med Hospital,
813,,,,,,,,,,,,,,,,,,,,,,Fort Jameson Infirmary,
814,,,,,,,,,,,,,,,,,,,,,,Victoria Hospital,
815,,,,,,,,,,,,,,,,,,,,,,Mwami Adventist Hospital,
816,,,,,,,,,,,,,,,,,,,,,,Kayiwale Care and Cure,
817,,,,,,,,,,,,,,,,,,,,,,University Teaching Hospital,
818,,,,,,,,,,,,,,,,,,,,,,Lundazi District Hospital,
819,,,,,,,,,,,,,,,,,,,,,,U Z Dental Clinic,
820,,,,,,,,,,,,,,,,,,,,,,Chitokoloki Mission Hospital,
821,,,,,,,,,,,,,,,,,,,,,,Tokyo OPTICIANS,
822,,,,,,,,,,,,,,,,,,,,,,Zambezi District Hospital,
823,,,,,,,,,,,,,,,,,,,,,,Teba Hospital,
824,,,,,,,,,,,,,,,,,,,,,,Bumi Clinic,
825,,,,,,,,,,,,,,,,,,,,,,Sun Bird Eye Clinic,
826,,,,,,,,,,,,,,,,,,,,,,Sunbird Opticians,
827,,,,,,,,,,,,,,,,,,,,,,St. John Paul II,
828,,,,,,,,,,,,,,,,,,,,,,St. Johns Medical Centre,
829,,,,,,,,,,,,,,,,,,,,,,ST John?s Hospital,
830,,,,,,,,,,,,,,,,,,,,,,Solwezi General Hospital,
831,,,,,,,,,,,,,,,,,,,,,,St George?s Clinic,
832,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital,
833,,,,,,,,,,,,,,,,,,,,,,Smile Medical & DENTAL Clinic,
834,,,,,,,,,,,,,,,,,,,,,,Kasama General Hospital,
835,,,,,,,,,,,,,,,,,,,,,,Revive Zambia,
836,,,,,,,,,,,,,,,,,,,,,,Hilltop Hospital Kasama,
837,,,,,,,,,,,,,,,,,,,,,,Ruth Kaluluma Memorial Clinic,
838,,,,,,,,,,,,,,,,,,,,,,Home of Compassion Hospital,
839,,,,,,,,,,,,,,,,,,,,,,Reliance Dental Services,
840,,,,,,,,,,,,,,,,,,,,,,Mansa General Hospital,
841,,,,,,,,,,,,,,,,,,,,,,Phil OPTICIANS,
842,,,,,,,,,,,,,,,,,,,,,,Malcom Watson Hospital,
843,,,,,,,,,,,,,,,,,,,,,,PHI Family Clinic,
844,,,,,,,,,,,,,,,,,,,,,,Roan General Hospital,
845,,,,,,,,,,,,,,,,,,,,,,Premium Medical Services,
846,,,,,,,,,,,,,,,,,,,,,,CNMC Luanshya Mine Hospital,
847,,,,,,,,,,,,,,,,,,,,,,Pendleton Family Practice Ltd,
848,,,,,,,,,,,,,,,,,,,,,,Dr. Bhatt?s Medical Center,
849,,,,,,,,,,,,,,,,,,,,,,Pearl of Health Hospital and Clinic,
850,,,,,,,,,,,,,,,,,,,,,,Nchanga North General Hospital,
851,,,,,,,,,,,,,,,,,,,,,,Optimal Medical Centre,
852,,,,,,,,,,,,,,,,,,,,,,African Medicare Services,
853,,,,,,,,,,,,,,,,,,,,,,Mutti Medical Centre,
854,,,,,,,,,,,,,,,,,,,,,,Nchanga South (KCM Hospital),
855,,,,,,,,,,,,,,,,,,,,,,Mum?s Care Clinics,
856,,,,,,,,,,,,,,,,,,,,,,Konkola Copper Mine Hospital,
857,,,,,,,,,,,,,,,,,,,,,,MKP TMS Hospital,
858,,,,,,,,,,,,,,,,,,,,,,Tokyo OPTICIANS,
859,,,,,,,,,,,,,,,,,,,,,,Metropolis Healthcare Zambia LTD,
860,,,,,,,,,,,,,,,,,,,,,,Sunbird OPTICIANS,
861,,,,,,,,,,,,,,,,,,,,,,Medcross Hospital,
862,,,,,,,,,,,,,,,,,,,,,,Health View Medical Services,
863,,,,,,,,,,,,,,,,,,,,,,Magnum Medical centre,
864,,,,,,,,,,,,,,,,,,,,,,Mary Begg Community Clinic,
